fighter,event,event_date,fighter_1,weight_class,fighter_2,fight_format,number_of_rounds,length_of_fight,fighter_1_outcome,fighter_2_outcome,fight_outcome_method,fighter_1_tot_kd,fighter_1_tot_sig.str,fighter_1_tot_sig.str%,fighter_1_tot_ss_head,fighter_1_tot_ss_bod,fighter_1_tot_ss_leg,fighter_1_tot_ss_dist,fighter_1_tot_ss_clinch,fighter_1_tot_ss_grnd,fighter_2_tot_kd,fighter_2_tot_sig.str,fighter_2_tot_sig.str%,fighter_2_tot_ss_head,fighter_2_tot_ss_bod,fighter_2_tot_ss_leg,fighter_2_tot_ss_dist,fighter_2_tot_ss_clinch,fighter_2_tot_ss_grnd
Santiago Ponzinibbio,UFC Fight Night: Bigfoot vs Mir,"Feb. 22, 2015",Santiago Ponzinibbio,Welterweight Bout,Sean Strickland,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,50 of 162,30%,17 of 48,1 of 6,2 of 4,18 of 53,1 of 4,1 of 1,0,44 of 167,26%,14 of 51,0 of 3,0 of 2,14 of 54,0 of 2,0 of 0
Santiago Ponzinibbio,UFC Fight Night: Belfort vs Henderson 2,"Nov. 09, 2013",Santiago Ponzinibbio,Welterweight Bout,Ryan LaFlare,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,1,25 of 81,30%,0 of 9,2 of 2,1 of 1,3 of 10,0 of 0,0 of 2,1,75 of 170,44%,9 of 25,1 of 1,2 of 4,4 of 14,3 of 4,5 of 12
Mike Polchlopek,PRIDE Bushido 13,"Nov. 05, 2006",Ikuhisa Minowa,Open Weight Bout,Mike Polchlopek,2 Rnd (10-5),2,5:00,W,L,Decision - Unanimous,0,20 of 47,42%,4 of 15,0 of 0,0 of 0,2 of 9,0 of 4,2 of 2,0,30 of 77,38%,19 of 43,3 of 4,0 of 0,5 of 13,7 of 14,10 of 20
Santiago Ponzinibbio,UFC Fight Night: Rodriguez vs. Caceres,"Aug. 06, 2016",Santiago Ponzinibbio,Welterweight Bout,Zak Cummings,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,58 of 126,46%,12 of 21,0 of 0,2 of 2,11 of 20,3 of 3,0 of 0,0,35 of 152,23%,3 of 31,1 of 4,3 of 4,7 of 38,0 of 1,0 of 0
Santiago Ponzinibbio,UFC Fight Night: Lewis vs. Browne,"Feb. 19, 2017",Nordine Taleb,Welterweight Bout,Santiago Ponzinibbio,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,48 of 121,39%,3 of 21,3 of 7,8 of 9,14 of 37,0 of 0,0 of 0,1,53 of 171,30%,5 of 33,0 of 2,2 of 2,7 of 37,0 of 0,0 of 0
Santiago Ponzinibbio,UFC Fight Night: Namajunas vs. VanZant,"Dec. 10, 2015",Santiago Ponzinibbio,Welterweight Bout,Andreas Stahl,3 Rnd (5-5-5),1,4:25,W,L,KO/TKO,1,48 of 77,62%,35 of 63,6 of 7,7 of 7,45 of 73,1 of 2,2 of 2,0,14 of 34,41%,5 of 23,4 of 5,5 of 6,14 of 34,0 of 0,0 of 0
Santiago Ponzinibbio,UFC on FOX: Teixeira vs Evans,"Apr. 16, 2016",Court McGee,Welterweight Bout,Santiago Ponzinibbio,3 Rnd (5-5-5),1,4:15,L,W,KO/TKO,0,35 of 95,36%,26 of 78,4 of 10,5 of 7,34 of 94,1 of 1,0 of 0,1,38 of 73,52%,34 of 65,0 of 4,4 of 4,31 of 58,4 of 10,3 of 5
Santiago Ponzinibbio,UFC Fight Night: Nelson vs. Ponzinibbio,"Jul. 16, 2017",Gunnar Nelson,Welterweight Bout,Santiago Ponzinibbio,5 Rnd (5-5-5-5-5),1,1:22,L,W,KO/TKO,0,5 of 7,71%,4 of 6,0 of 0,1 of 1,5 of 7,0 of 0,0 of 0,1,7 of 12,58%,7 of 12,0 of 0,0 of 0,4 of 9,0 of 0,3 of 3
Santiago Ponzinibbio,UFC Fight Night: Magny vs. Ponzinibbio,"Nov. 17, 2018",Neil Magny,Welterweight Bout,Santiago Ponzinibbio,5 Rnd (5-5-5-5-5),4,2:36,L,W,KO/TKO,0,72 of 251,28%,8 of 51,2 of 4,2 of 5,12 of 59,0 of 1,0 of 0,2,79 of 177,44%,13 of 34,5 of 6,5 of 6,23 of 46,0 of 0,0 of 0
Santiago Ponzinibbio,UFC Fight Night: Holloway vs. Kattar,"Jan. 16, 2021",Santiago Ponzinibbio,Welterweight Bout,Li Jingliang,3 Rnd (5-5-5),1,4:25,L,W,KO/TKO,0,11 of 18,61%,7 of 14,0 of 0,4 of 4,11 of 18,0 of 0,0 of 0,1,21 of 50,42%,6 of 30,3 of 6,12 of 14,20 of 49,0 of 0,1 of 1
Santiago Ponzinibbio,UFC Fight Night: Lawler vs. Dos Anjos,"Dec. 16, 2017",Santiago Ponzinibbio,Welterweight Bout,Mike Perry,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,1,78 of 200,39%,4 of 30,1 of 1,5 of 5,9 of 35,1 of 1,0 of 0,0,51 of 136,37%,5 of 33,5 of 8,3 of 4,13 of 45,0 of 0,0 of 0
Santiago Ponzinibbio,UFC Fight Night: Rozenstruik vs. Sakai,"Jun. 05, 2021",Santiago Ponzinibbio,Welterweight Bout,Miguel Baeza,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,121 of 270,44%,12 of 47,2 of 3,1 of 2,15 of 52,0 of 0,0 of 0,0,104 of 249,41%,11 of 43,8 of 10,20 of 20,39 of 73,0 of 0,0 of 0
Santiago Ponzinibbio,UFC 269: Oliveira vs. Poirier,"Dec. 11, 2021",Geoff Neal,Welterweight Bout,Santiago Ponzinibbio,3 Rnd (5-5-5),3,5:00,W,L,Decision - Split,0,85 of 161,52%,13 of 33,2 of 3,5 of 5,20 of 41,0 of 0,0 of 0,0,91 of 229,39%,17 of 54,5 of 5,4 of 4,25 of 62,1 of 1,0 of 0
Santiago Ponzinibbio,UFC 282: Blachowicz vs. Ankalaev,"Dec. 10, 2022",Santiago Ponzinibbio,Catch Weight Bout,Alex Morono,3 Rnd (5-5-5),3,2:29,W,L,KO/TKO,1,66 of 155,42%,6 of 19,11 of 18,5 of 5,22 of 42,0 of 0,0 of 0,1,38 of 131,29%,14 of 51,3 of 4,0 of 0,13 of 48,0 of 0,4 of 7
Santiago Ponzinibbio,UFC Fight Night: Holm vs. Vieira,"May. 21, 2022",Santiago Ponzinibbio,Welterweight Bout,Michel Pereira,3 Rnd (5-5-5),3,5:00,L,W,Decision - Split,0,105 of 220,47%,8 of 29,5 of 5,3 of 5,16 of 39,0 of 0,0 of 0,0,110 of 216,50%,9 of 27,12 of 15,3 of 3,24 of 45,0 of 0,0 of 0
Santiago Ponzinibbio,UFC 287: Pereira vs. Adesanya 2,"Apr. 08, 2023",Kevin Holland,Welterweight Bout,Santiago Ponzinibbio,3 Rnd (5-5-5),3,3:16,W,L,KO/TKO,1,66 of 197,33%,7 of 41,6 of 12,16 of 17,27 of 63,1 of 4,1 of 3,0,44 of 104,42%,2 of 20,2 of 8,9 of 10,13 of 36,0 of 2,0 of 0
Ruan Potts,UFC Fight Night: Brown vs Silva,"May. 10, 2014",Soa Palelei,Heavyweight Bout,Ruan Potts,3 Rnd (5-5-5),1,2:20,W,L,KO/TKO,0,5 of 7,71%,5 of 7,0 of 0,0 of 0,0 of 1,0 of 0,5 of 6,0,0 of 3,0%,0 of 1,0 of 0,0 of 2,0 of 3,0 of 0,0 of 0
Ruan Potts,UFC 184: Rousey vs Zingano,"Feb. 28, 2015",Derrick Lewis,Heavyweight Bout,Ruan Potts,3 Rnd (5-5-5),2,3:18,W,L,KO/TKO,0,53 of 82,64%,13 of 27,3 of 3,1 of 1,1 of 4,3 of 3,13 of 24,0,7 of 13,53%,2 of 5,2 of 4,3 of 3,5 of 9,0 of 0,2 of 3
Ihor Potieria,UFC Fight Night: Rozenstruik vs. Almeida,"May. 13, 2023",Carlos Ulberg,Light Heavyweight Bout,Ihor Potieria,3 Rnd (5-5-5),1,2:09,W,L,KO/TKO,1,13 of 21,61%,11 of 18,1 of 1,1 of 2,5 of 11,0 of 0,8 of 10,0,5 of 9,55%,1 of 4,0 of 0,4 of 5,5 of 9,0 of 0,0 of 0
Ruan Potts,UFC 177: Dillashaw vs Soto,"Aug. 30, 2014",Ruan Potts,Heavyweight Bout,Anthony Hamilton,3 Rnd (5-5-5),2,4:17,L,W,KO/TKO,0,10 of 29,34%,6 of 19,0 of 0,1 of 3,5 of 20,2 of 2,0 of 0,0,60 of 64,93%,2 of 5,4 of 4,3 of 3,2 of 4,3 of 3,4 of 5
Grigory Popov,UFC 238: Cejudo vs. Moraes,"Jun. 08, 2019",Eddie Wineland,Bantamweight Bout,Grigory Popov,3 Rnd (5-5-5),2,4:47,W,L,KO/TKO,2,74 of 171,43%,14 of 48,9 of 18,1 of 1,24 of 67,0 of 0,0 of 0,0,55 of 150,36%,7 of 37,12 of 24,5 of 6,22 of 64,2 of 3,0 of 0
Grigory Popov,UFC Fight Night: Zabit vs. Kattar,"Nov. 09, 2019",Grigory Popov,Bantamweight Bout,Davey Grant,3 Rnd (5-5-5),3,5:00,L,W,Decision - Split,0,35 of 88,39%,4 of 17,6 of 9,1 of 2,9 of 18,1 of 2,1 of 8,0,30 of 63,47%,2 of 8,8 of 11,5 of 7,13 of 20,0 of 0,2 of 6
Ihor Potieria,UFC Fight Night: Hermansson vs. Pyfer,"Feb. 10, 2024",Robert Bryczek,Middleweight Bout,Ihor Potieria,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,32 of 133,24%,7 of 26,5 of 9,0 of 0,12 of 34,0 of 1,0 of 0,1,67 of 168,39%,5 of 26,1 of 5,8 of 10,12 of 35,2 of 6,0 of 0
Ihor Potieria,UFC Fight Night: Dariush vs. Tsarukyan,"Dec. 02, 2023",Rodolfo Bellato,Light Heavyweight Bout,Ihor Potieria,3 Rnd (5-5-5),2,4:17,W,L,KO/TKO,0,80 of 131,61%,12 of 32,5 of 8,1 of 3,9 of 32,9 of 11,0 of 0,1,73 of 127,57%,22 of 53,9 of 10,6 of 6,29 of 56,8 of 13,0 of 0
Callan Potter,UFC Fight Night: Felder vs. Hooker,"Feb. 22, 2020",Callan Potter,Welterweight Bout,Song Kenan,3 Rnd (5-5-5),1,2:20,L,W,KO/TKO,0,7 of 15,46%,6 of 14,1 of 1,0 of 0,5 of 12,2 of 3,0 of 0,1,17 of 35,48%,12 of 29,5 of 6,0 of 0,14 of 29,2 of 5,1 of 1
Parker Porter,UFC Fight Night: Smith vs. Clark,"Nov. 28, 2020",Josh Parisian,Heavyweight Bout,Parker Porter,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,114 of 226,50%,38 of 92,18 of 22,0 of 1,38 of 89,18 of 26,0 of 0,0,126 of 228,55%,33 of 77,10 of 12,3 of 3,33 of 77,13 of 15,0 of 0
Parker Porter,UFC Fight Night: Walker vs. Hill,"Feb. 19, 2022",Parker Porter,Heavyweight Bout,Alan Baudot,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,43 of 106,40%,8 of 35,1 of 1,3 of 3,8 of 34,4 of 5,0 of 0,0,55 of 107,51%,13 of 27,4 of 4,0 of 1,14 of 28,3 of 4,0 of 0
Callan Potter,UFC 243: Whittaker vs. Adesanya,"Oct. 05, 2019",Callan Potter,Welterweight Bout,Maki Pitolo,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,48 of 96,50%,20 of 38,0 of 0,0 of 0,19 of 37,1 of 1,0 of 0,0,60 of 155,38%,21 of 56,4 of 5,1 of 1,26 of 62,0 of 0,0 of 0
Parker Porter,UFC Fight Night: Cannonier vs. Gastelum,"Aug. 21, 2021",Parker Porter,Heavyweight Bout,Chase Sherman,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,149 of 278,53%,14 of 47,1 of 1,6 of 8,19 of 54,1 of 1,1 of 1,0,117 of 249,46%,20 of 50,1 of 1,8 of 8,29 of 59,0 of 0,0 of 0
Parker Porter,UFC 288: Sterling vs. Cejudo,"May. 06, 2023",Braxton Smith,Heavyweight Bout,Parker Porter,3 Rnd (5-5-5),1,2:10,L,W,KO/TKO,0,14 of 29,48%,13 of 28,0 of 0,1 of 1,14 of 29,0 of 0,0 of 0,0,25 of 37,67%,24 of 36,1 of 1,0 of 0,12 of 24,3 of 3,10 of 10
Parker Porter,UFC Fight Night: Holloway vs. The Korean Zombie,"Aug. 26, 2023",Junior Tafa,Heavyweight Bout,Parker Porter,3 Rnd (5-5-5),1,1:24,W,L,KO/TKO,1,8 of 13,61%,7 of 12,1 of 1,0 of 0,4 of 7,4 of 6,0 of 0,0,2 of 9,22%,2 of 9,0 of 0,0 of 0,2 of 9,0 of 0,0 of 0
Marcin Prachnio,UFC 290: Volkanovski vs. Rodriguez,"Jul. 08, 2023",Vitor Petrino,Light Heavyweight Bout,Marcin Prachnio,3 Rnd (5-5-5),3,3:42,W,L,Submission,0,44 of 81,54%,9 of 26,6 of 6,1 of 1,11 of 25,1 of 1,4 of 7,0,55 of 88,62%,12 of 23,14 of 15,6 of 6,21 of 32,11 of 12,0 of 0
Parker Porter,UFC Fight Night: Holm vs. Vieira,"May. 21, 2022",Jailton Almeida,Heavyweight Bout,Parker Porter,3 Rnd (5-5-5),1,4:35,W,L,Submission,0,18 of 34,52%,16 of 32,2 of 2,0 of 0,1 of 1,0 of 0,17 of 33,0,0 of 0,---,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
Marcin Prachnio,UFC Fight Night: Lemos vs. Andrade,"Apr. 23, 2022",Marcin Prachnio,Light Heavyweight Bout,Philipe Lins,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,74 of 117,63%,4 of 11,14 of 16,12 of 15,23 of 33,7 of 9,0 of 0,0,64 of 110,58%,2 of 14,7 of 8,5 of 5,14 of 27,0 of 0,0 of 0
Marcin Prachnio,UFC Fight Night: Gane vs. Volkov,"Jun. 26, 2021",Marcin Prachnio,Light Heavyweight Bout,Ike Villanueva,3 Rnd (5-5-5),2,0:56,W,L,KO/TKO,1,59 of 92,64%,18 of 45,12 of 16,18 of 18,44 of 73,4 of 6,0 of 0,0,34 of 79,43%,29 of 68,2 of 2,1 of 2,25 of 56,4 of 9,3 of 7
Marcin Prachnio,UFC 257: Poirier vs. McGregor,"Jan. 23, 2021",Khalil Rountree Jr.,Light Heavyweight Bout,Marcin Prachnio,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,49 of 148,33%,5 of 26,6 of 6,5 of 6,16 of 38,0 of 0,0 of 0,0,102 of 216,47%,8 of 26,7 of 12,15 of 16,29 of 52,1 of 2,0 of 0
Marcin Prachnio,UFC Fight Night: Andrade vs. Blanchfield,"Feb. 18, 2023",William Knight,Light Heavyweight Bout,Marcin Prachnio,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,8 of 33,24%,0 of 3,2 of 3,1 of 4,3 of 10,0 of 0,0 of 0,0,79 of 144,54%,1 of 10,3 of 11,22 of 27,26 of 48,0 of 0,0 of 0
Marcin Prachnio,UFC Fight Night: Hermansson vs. Pyfer,"Feb. 10, 2024",Devin Clark,Light Heavyweight Bout,Marcin Prachnio,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,53 of 127,41%,7 of 24,2 of 3,2 of 2,11 of 28,0 of 1,0 of 0,0,101 of 189,53%,8 of 28,7 of 9,8 of 10,21 of 42,2 of 5,0 of 0
Devin Powell,UFC Fight Night: Magny vs. Ponzinibbio,"Nov. 17, 2018",Devin Powell,Lightweight Bout,Jesus Pinedo,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,58 of 139,41%,11 of 38,11 of 17,1 of 1,15 of 43,7 of 11,1 of 2,0,60 of 142,42%,13 of 36,7 of 8,2 of 2,13 of 34,5 of 6,4 of 6
Wagner Prado,UFC on FOX: Shogun vs Vera,"Aug. 04, 2012",Phil Davis,Light Heavyweight Bout,Wagner Prado,3 Rnd (5-5-5),1,1:28,NC,NC,Could Not Continue,0,4 of 12,33%,3 of 9,1 of 3,0 of 0,4 of 12,0 of 0,0 of 0,0,2 of 16,12%,2 of 15,0 of 1,0 of 0,2 of 16,0 of 0,0 of 0
Wagner Prado,UFC 153: Silva vs Bonnar,"Oct. 13, 2012",Phil Davis,Light Heavyweight Bout,Wagner Prado,3 Rnd (5-5-5),2,4:29,W,L,Submission,0,29 of 49,59%,10 of 17,5 of 6,0 of 0,1 of 5,1 of 1,13 of 17,0,2 of 11,18%,0 of 4,1 of 1,0 of 0,0 of 4,1 of 1,0 of 0
Cristian Quinonez,UFC Fight Night: Vettori vs. Cannonier,"Jun. 17, 2023",Kyung Ho Kang,Bantamweight Bout,Cristian Quinonez,3 Rnd (5-5-5),1,2:25,W,L,Submission,1,22 of 37,59%,14 of 28,3 of 4,5 of 5,17 of 31,0 of 0,5 of 6,0,13 of 29,44%,11 of 27,0 of 0,2 of 2,13 of 29,0 of 0,0 of 0
Wagner Prado,UFC on FX: Belfort vs Bisping,"Jan. 19, 2013",Wagner Prado,Light Heavyweight Bout,Ildemar Alcantara,3 Rnd (5-5-5),2,2:39,L,W,Submission,0,28 of 53,52%,11 of 22,13 of 20,0 of 1,21 of 40,3 of 3,0 of 0,0,24 of 55,43%,8 of 29,12 of 16,2 of 2,20 of 44,2 of 3,0 of 0
Cristian Quinonez,DWCS 5.9,"Oct. 26, 2021",Xiao Long,Bantamweight Bout,Cristian Quinonez,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,78 of 195,40%,9 of 32,6 of 15,6 of 10,21 of 57,0 of 0,0 of 0,1,76 of 181,41%,16 of 46,2 of 3,8 of 10,21 of 54,5 of 5,0 of 0
Cristian Quinonez,UFC Fight Night: Gane vs. Tuivasa,"Sep. 03, 2022",Khalid Taha,Bantamweight Bout,Cristian Quinonez,3 Rnd (5-5-5),1,3:15,L,W,KO/TKO,0,6 of 27,22%,5 of 25,1 of 1,0 of 1,6 of 27,0 of 0,0 of 0,0,19 of 47,40%,17 of 42,0 of 3,2 of 2,15 of 42,0 of 0,4 of 5
Cristian Quinonez,UFC Fight Night: Moreno vs. Royval 2,"Feb. 24, 2024",Cristian Quinonez,Bantamweight Bout,Raoni Barcelos,3 Rnd (5-5-5),3,2:04,L,W,Submission,0,29 of 82,35%,2 of 17,1 of 2,1 of 1,3 of 17,1 of 3,0 of 0,0,43 of 74,58%,7 of 11,1 of 1,4 of 4,11 of 14,1 of 2,0 of 0
John Polakowski,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,"Dec. 13, 2008",Rolando Delgado,Lightweight Bout,John Polakowski,3 Rnd (5-5-5),2,2:18,W,L,Submission,1,15 of 27,55%,8 of 15,7 of 8,0 of 1,9 of 15,0 of 0,6 of 9,0,1 of 23,4%,0 of 15,0 of 1,0 of 0,0 of 16,0 of 0,0 of 0
John Polakowski,WEC 24: Full Force,"Oct. 12, 2006",John Polakowski,Lightweight Bout,Olaf Alfonso,3 Rnd (5-5-5),3,5:00,W,L,Decision - Split,0,57 of 195,29%,8 of 74,2 of 4,0 of 0,8 of 75,2 of 3,0 of 0,0,48 of 101,47%,18 of 41,4 of 7,5 of 5,26 of 51,1 of 2,0 of 0
Jamal Pogues,UFC Fight Night: Andrade vs. Blanchfield,"Feb. 18, 2023",Josh Parisian,Heavyweight Bout,Jamal Pogues,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,37 of 113,32%,7 of 20,3 of 6,2 of 2,11 of 27,1 of 1,0 of 0,0,33 of 60,55%,6 of 17,0 of 0,1 of 1,3 of 14,0 of 0,4 of 4
Jamal Pogues,DWCS 3.9,"Aug. 20, 2019",Marcos Brigagao,Light Heavyweight Bout,Jamal Pogues,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,46 of 106,43%,10 of 27,2 of 3,2 of 2,10 of 28,4 of 4,0 of 0,0,49 of 66,74%,12 of 16,2 of 2,0 of 0,9 of 13,1 of 1,4 of 4
Igor Pokrajac,UFC 110: Nogueira vs Velasquez,"Feb. 20, 2010",James Te Huna,Light Heavyweight Bout,Igor Pokrajac,3 Rnd (5-5-5),3,3:26,W,L,KO/TKO,0,22 of 52,42%,7 of 17,1 of 2,2 of 2,5 of 5,0 of 2,5 of 14,2,25 of 54,46%,8 of 16,0 of 0,0 of 0,5 of 10,2 of 5,1 of 1
Igor Pokrajac,UFC 103: Franklin vs Belfort,"Sep. 19, 2009",Vladimir Matyushenko,Light Heavyweight Bout,Igor Pokrajac,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,44 of 106,41%,10 of 23,2 of 2,1 of 1,11 of 22,1 of 2,1 of 2,0,17 of 65,26%,4 of 18,0 of 0,2 of 4,4 of 20,1 of 1,1 of 1
Jamal Pogues,DWCS 6.3,"Aug. 09, 2022",Paulo Renato Junior,Heavyweight Bout,Jamal Pogues,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,77 of 165,46%,6 of 19,3 of 3,12 of 16,20 of 37,1 of 1,0 of 0,0,69 of 180,38%,14 of 50,0 of 0,1 of 2,15 of 52,0 of 0,0 of 0
Luana Pinheiro,DWCS 4.9,"Nov. 10, 2020",Luana Pinheiro,Women's Strawweight Bout,Stephanie Frausto,3 Rnd (5-5-5),1,2:48,W,L,KO/TKO,1,10 of 25,40%,7 of 19,1 of 2,2 of 4,5 of 19,0 of 0,5 of 6,0,4 of 19,21%,0 of 6,1 of 1,3 of 12,4 of 19,0 of 0,0 of 0
Igor Pokrajac,UFC Fight Night: Rothwell vs Dos Santos,"Apr. 10, 2016",Igor Pokrajac,Light Heavyweight Bout,Jan Blachowicz,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,35 of 73,47%,8 of 16,1 of 1,0 of 0,3 of 9,0 of 1,6 of 7,0,98 of 153,64%,5 of 17,7 of 7,0 of 0,2 of 9,1 of 1,9 of 14
Jamal Pogues,UFC Fight Night: Aspinall vs. Tybura,"Jul. 22, 2023",Mick Parkin,Heavyweight Bout,Jamal Pogues,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,95 of 156,60%,12 of 30,2 of 2,18 of 18,32 of 48,0 of 2,0 of 0,0,36 of 135,26%,13 of 71,1 of 1,7 of 7,20 of 78,1 of 1,0 of 0
Luana Pinheiro,UFC Fight Night: Reyes vs. Prochazka,"May. 01, 2021",Randa Markos,Women's Strawweight Bout,Luana Pinheiro,3 Rnd (5-5-5),1,4:16,L,W,DQ,0,18 of 40,45%,12 of 32,6 of 7,0 of 1,12 of 34,5 of 5,1 of 1,0,29 of 53,54%,22 of 44,4 of 5,3 of 4,20 of 38,7 of 7,2 of 8
Jesus Pinedo,UFC Fight Night: Thompson vs. Pettis,"Mar. 23, 2019",John Makdessi,Lightweight Bout,Jesus Pinedo,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,73 of 137,53%,4 of 10,2 of 6,8 of 12,14 of 28,0 of 0,0 of 0,0,37 of 113,32%,0 of 13,2 of 3,5 of 9,7 of 25,0 of 0,0 of 0
Daniel Pineda,UFC 146: Dos Santos vs Mir,"May. 26, 2012",Mike Brown,Featherweight Bout,Daniel Pineda,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,38 of 67,56%,9 of 20,3 of 3,0 of 0,10 of 21,2 of 2,0 of 0,0,28 of 80,35%,10 of 29,1 of 1,2 of 2,12 of 31,0 of 0,1 of 1
Pingyuan Liu,UFC Fight Night: Shogun vs. Smith,"Jul. 22, 2018",Damian Stasiak,Bantamweight Bout,Pingyuan Liu,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,24 of 49,48%,2 of 5,2 of 2,3 of 5,4 of 9,1 of 1,2 of 2,0,32 of 77,41%,4 of 13,3 of 3,0 of 0,4 of 13,3 of 3,0 of 0
Daniel Pineda,UFC 149: Faber vs Barao,"Jul. 21, 2012",Antonio Carvalho,Featherweight Bout,Daniel Pineda,3 Rnd (5-5-5),1,1:11,W,L,KO/TKO,1,10 of 23,43%,8 of 20,1 of 2,1 of 1,8 of 19,0 of 1,2 of 3,0,7 of 20,35%,6 of 17,1 of 1,0 of 2,5 of 18,2 of 2,0 of 0
Daniel Pineda,UFC on FX: Guillard vs Miller,"Jan. 20, 2012",Daniel Pineda,Featherweight Bout,Pat Schilling,3 Rnd (5-5-5),1,1:37,W,L,Submission,0,19 of 24,79%,16 of 21,1 of 1,2 of 2,8 of 12,0 of 0,11 of 12,0,4 of 7,57%,3 of 6,0 of 0,1 of 1,4 of 7,0 of 0,0 of 0
Daniel Pineda,UFC on FX: Alves vs Kampmann,"Mar. 02, 2012",Mackens Semerzier,Featherweight Bout,Daniel Pineda,3 Rnd (5-5-5),1,2:05,L,W,Submission,0,9 of 12,75%,4 of 7,2 of 2,3 of 3,6 of 9,3 of 3,0 of 0,1,14 of 21,66%,11 of 18,2 of 2,1 of 1,10 of 16,3 of 4,1 of 1
Sean Pierson,UFC 129: St-Pierre vs Shields,"Apr. 30, 2011",Jake Ellenberger,Welterweight Bout,Sean Pierson,3 Rnd (5-5-5),1,2:42,W,L,KO/TKO,1,9 of 19,47%,6 of 13,1 of 3,2 of 3,7 of 16,1 of 2,1 of 1,0,3 of 14,21%,3 of 13,0 of 0,0 of 1,3 of 14,0 of 0,0 of 0
Paddy Pimblett,UFC 282: Blachowicz vs. Ankalaev,"Dec. 10, 2022",Paddy Pimblett,Lightweight Bout,Jared Gordon,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,63 of 155,40%,16 of 55,2 of 4,11 of 11,28 of 69,0 of 0,1 of 1,0,60 of 103,58%,17 of 28,7 of 17,8 of 8,30 of 50,0 of 0,2 of 3
Joao Pierini,UFC 37.5: As Real As It Gets,"Jun. 22, 2002",Yves Edwards,Lightweight Bout,Joao Pierini,3 Rnd (5-5-5),1,1:19,W,L,KO/TKO,0,6 of 9,66%,3 of 6,0 of 0,3 of 3,5 of 6,0 of 0,1 of 3,0,1 of 7,14%,1 of 7,0 of 0,0 of 0,1 of 7,0 of 0,0 of 0
Sean Pierson,UFC on FX: Johnson vs McCall,"Jun. 08, 2012",Jake Hecht,Welterweight Bout,Sean Pierson,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,37 of 99,37%,6 of 9,3 of 5,0 of 0,3 of 4,4 of 8,2 of 2,0,41 of 109,37%,7 of 15,4 of 5,1 of 1,3 of 9,6 of 7,3 of 5
Sean Pierson,UFC 141: Lesnar vs Overeem,"Dec. 30, 2011",Dong Hyun Kim,Welterweight Bout,Sean Pierson,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,1,53 of 124,42%,8 of 28,3 of 4,6 of 9,16 of 40,1 of 1,0 of 0,0,32 of 121,26%,11 of 48,2 of 3,4 of 6,14 of 54,1 of 1,2 of 2
Sean Pierson,UFC 161: Evans vs Henderson,"Jun. 15, 2013",Sean Pierson,Welterweight Bout,Kenny Robertson,3 Rnd (5-5-5),3,5:00,W,L,Decision - Majority,0,36 of 92,39%,14 of 34,1 of 2,2 of 2,13 of 33,3 of 3,1 of 2,0,65 of 119,54%,11 of 33,3 of 5,5 of 5,16 of 34,1 of 3,2 of 6
Paddy Pimblett,UFC Fight Night: Blaydes vs. Aspinall,"Jul. 23, 2022",Paddy Pimblett,Lightweight Bout,Jordan Leavitt,3 Rnd (5-5-5),2,2:46,W,L,Submission,0,17 of 39,43%,9 of 19,1 of 2,0 of 0,1 of 8,5 of 6,4 of 7,0,16 of 22,72%,3 of 4,4 of 4,0 of 0,2 of 2,5 of 6,0 of 0
