fighter,event,event_date,fighter_1,weight_class,fighter_2,fight_format,number_of_rounds,length_of_fight,fighter_1_outcome,fighter_2_outcome,fight_outcome_method,fighter_1_tot_kd,fighter_1_tot_sig.str,fighter_1_tot_sig.str%,fighter_1_tot_ss_head,fighter_1_tot_ss_bod,fighter_1_tot_ss_leg,fighter_1_tot_ss_dist,fighter_1_tot_ss_clinch,fighter_1_tot_ss_grnd,fighter_2_tot_kd,fighter_2_tot_sig.str,fighter_2_tot_sig.str%,fighter_2_tot_ss_head,fighter_2_tot_ss_bod,fighter_2_tot_ss_leg,fighter_2_tot_ss_dist,fighter_2_tot_ss_clinch,fighter_2_tot_ss_grnd
Darren Stewart,UFC Fight Night: Poirier vs. Pettis,"Nov. 11, 2017",Darren Stewart,Middleweight Bout,Karl Roberson,3 Rnd (5-5-5),1,3:41,L,W,Submission,0,6 of 20,30%,3 of 9,0 of 3,3 of 8,4 of 18,2 of 2,0 of 0,0,17 of 23,73%,12 of 17,5 of 6,0 of 0,5 of 9,9 of 9,3 of 5
Luke Stewart,Strikeforce - Shamrock vs. Baroni,"Jun. 22, 2007",Luke Stewart,Welterweight Bout,Jason Von Flue,3 Rnd (5-5-5),3,2:17,W,L,KO/TKO,0,80 of 131,61%,10 of 25,6 of 6,6 of 7,19 of 35,3 of 3,0 of 0,0,24 of 95,25%,5 of 23,1 of 2,0 of 0,6 of 23,0 of 1,0 of 1
Joe Stevenson,UFC 95: Sanchez vs Stevenson,"Feb. 21, 2009",Diego Sanchez,Lightweight Bout,Joe Stevenson,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,91 of 193,47%,29 of 57,7 of 9,0 of 0,36 of 66,0 of 0,0 of 0,0,41 of 145,28%,11 of 53,0 of 1,0 of 0,8 of 49,3 of 5,0 of 0
Ray Steinbeiss,BodogFight - Costa Rica 2/18,"Feb. 18, 2007",Jake Shields,Catch Weight Bout,Ray Steinbeiss,3 Rnd (5-5-5),1,1:29,W,L,Submission,0,0 of 1,0%,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,0,0 of 1,0%,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0
Jeremy Stephens,The Ultimate Fighter: A Champion Will Be Crowned Finale,"Dec. 12, 2014",Jeremy Stephens,Featherweight Bout,Charles Oliveira,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,48 of 79,60%,10 of 15,2 of 2,1 of 2,8 of 13,0 of 0,5 of 6,0,43 of 67,64%,8 of 13,4 of 5,0 of 0,4 of 10,5 of 5,3 of 3
Jeremy Stephens,UFC 71: Liddell vs Jackson,"May. 26, 2007",Din Thomas,Lightweight Bout,Jeremy Stephens,3 Rnd (5-5-5),2,2:44,W,L,Submission,0,10 of 37,27%,2 of 12,0 of 0,0 of 0,0 of 10,0 of 0,2 of 2,0,7 of 35,20%,1 of 15,0 of 1,0 of 0,0 of 9,0 of 0,1 of 7
Jeremy Stephens,UFC 194: Aldo vs McGregor,"Dec. 12, 2015",Max Holloway,Featherweight Bout,Jeremy Stephens,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,57 of 99,57%,9 of 19,4 of 8,2 of 2,15 of 29,0 of 0,0 of 0,0,47 of 95,49%,0 of 8,1 of 2,14 of 15,15 of 24,0 of 1,0 of 0
Jeremy Stephens,UFC Fight Night: Condit vs Kampmann,"Apr. 01, 2009",Gleison Tibau,Lightweight Bout,Jeremy Stephens,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,7 of 20,35%,2 of 6,1 of 1,1 of 1,1 of 5,2 of 2,1 of 1,0,23 of 40,57%,3 of 6,3 of 3,2 of 3,3 of 6,4 of 5,1 of 1
Jeremy Stephens,UFC 76: Knockout,"Sep. 22, 2007",Jeremy Stephens,Lightweight Bout,Diego Saraiva,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,50 of 90,55%,8 of 15,1 of 2,1 of 1,1 of 6,0 of 0,9 of 12,0,11 of 29,37%,5 of 11,0 of 0,1 of 3,1 of 6,0 of 0,5 of 8
Jeremy Stephens,UFC on FOX: Johnson vs. Reis,"Apr. 15, 2017",Jeremy Stephens,Featherweight Bout,Renato Moicano,3 Rnd (5-5-5),3,5:00,L,W,Decision - Split,0,56 of 207,27%,3 of 31,1 of 1,6 of 9,10 of 41,0 of 0,0 of 0,0,70 of 116,60%,4 of 11,1 of 3,18 of 23,20 of 34,0 of 0,3 of 3
Jeremy Stephens,UFC Fight Night: Alvarez vs. Poirier 2,"Jul. 28, 2018",Jose Aldo,Featherweight Bout,Jeremy Stephens,3 Rnd (5-5-5),1,4:19,W,L,KO/TKO,1,29 of 63,46%,21 of 55,3 of 3,5 of 5,16 of 41,1 of 1,12 of 21,0,20 of 60,33%,16 of 55,2 of 3,2 of 2,16 of 52,4 of 8,0 of 0
Joe Stevenson,UFC 110: Nogueira vs Velasquez,"Feb. 20, 2010",George Sotiropoulos,Lightweight Bout,Joe Stevenson,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,20 of 87,22%,1 of 10,0 of 0,0 of 0,0 of 9,0 of 0,1 of 1,0,7 of 31,22%,1 of 6,0 of 0,0 of 1,0 of 6,1 of 1,0 of 0
